20
ID;Titulo;Autor;Paginas;AñoPublicación;EjemplaresVendidos;Género
LIB0;Libro_0;Autor_6;141;1977;183400;politica
LIB1;Libro_1;Autor_6;824;1988;285800;thriller
LIB2;Libro_2;Autor_7;805;2055;278100;leyendas
LIB3;Libro_3;Autor_5;591;2105;344200;religion
LIB4;Libro_4;Autor_7;491;1914;340200;ensayo
LIB5;Libro_5;Autor_7;482;1931;221600;infantil
LIB6;Libro_6;Autor_3;547;2036;227100;leyendas
LIB7;Libro_7;Autor_5;1012;1977;179900;humor
LIB8;Libro_8;Autor_3;803;1921;282200;politica
LIB9;Libro_9;Autor_2;764;2051;321100;humor
LIB10;Libro_10;Autor_5;647;1954;216200;fotografia
LIB11;Libro_11;Autor_6;959;2033;324100;religion
LIB12;Libro_12;Autor_2;416;1945;169000;leyendas
LIB13;Libro_13;Autor_1;206;1950;244200;cine
LIB14;Libro_14;Autor_3;546;1915;339000;poesia
LIB15;Libro_15;Autor_6;450;1916;260100;gastronomia
LIB16;Libro_16;Autor_5;729;1933;158400;infantil
LIB17;Libro_17;Autor_2;940;2076;287600;poesia
LIB18;Libro_18;Autor_5;1044;1949;212600;gastronomia
LIB19;Libro_19;Autor_5;638;2028;158200;humor
